Frame,LEFT_SHOULDER_to_LEFT_ELBOW_start_x,LEFT_SHOULDER_to_LEFT_ELBOW_start_y,LEFT_SHOULDER_to_LEFT_ELBOW_end_x,LEFT_SHOULDER_to_LEFT_ELBOW_end_y,LEFT_ELBOW_to_LEFT_WRIST_start_x,LEFT_ELBOW_to_LEFT_WRIST_start_y,LEFT_ELBOW_to_LEFT_WRIST_end_x,LEFT_ELBOW_to_LEFT_WRIST_end_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_start_y,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_x,RIGHT_SHOULDER_to_RIGHT_ELBOW_end_y,RIGHT_ELBOW_to_RIGHT_WRIST_start_x,RIGHT_ELBOW_to_RIGHT_WRIST_start_y,RIGHT_ELBOW_to_RIGHT_WRIST_end_x,RIGHT_ELBOW_to_RIGHT_WRIST_end_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_start_y,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_x,LEFT_SHOULDER_to_RIGHT_SHOULDER_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y,LEFT_HIP_to_LEFT_KNEE_start_x,LEFT_HIP_to_LEFT_KNEE_start_y,LEFT_HIP_to_LEFT_KNEE_end_x,LEFT_HIP_to_LEFT_KNEE_end_y,LEFT_KNEE_to_LEFT_ANKLE_start_x,LEFT_KNEE_to_LEFT_ANKLE_start_y,LEFT_KNEE_to_LEFT_ANKLE_end_x,LEFT_KNEE_to_LEFT_ANKLE_end_y,RIGHT_HIP_to_RIGHT_KNEE_start_x,RIGHT_HIP_to_RIGHT_KNEE_start_y,RIGHT_HIP_to_RIGHT_KNEE_end_x,RIGHT_HIP_to_RIGHT_KNEE_end_y,RIGHT_KNEE_to_RIGHT_ANKLE_start_x,RIGHT_KNEE_to_RIGHT_ANKLE_start_y,RIGHT_KNEE_to_RIGHT_ANKLE_end_x,RIGHT_KNEE_to_RIGHT_ANKLE_end_y,LEFT_SHOULDER_to_LEFT_HIP_start_x,LEFT_SHOULDER_to_LEFT_HIP_start_y,LEFT_SHOULDER_to_LEFT_HIP_end_x,LEFT_SHOULDER_to_LEFT_HIP_end_y,RIGHT_SHOULDER_to_RIGHT_HIP_start_x,RIGHT_SHOULDER_to_RIGHT_HIP_start_y,RIGHT_SHOULDER_to_RIGHT_HIP_end_x,RIGHT_SHOULDER_to_RIGHT_HIP_end_y,LEFT_HIP_to_RIGHT_HIP_start_x,LEFT_HIP_to_RIGHT_HIP_start_y,LEFT_HIP_to_RIGHT_HIP_end_x,LEFT_HIP_to_RIGHT_HIP_end_y
16,53,349,24,431,24,431,66,465,149,334,175,410,175,410,185,469,53,349,149,334,71,493,129,491,71,493,68,638,68,638,47,768,129,491,119,636,119,636,118,774,53,349,71,493,149,334,129,491,71,493,129,491
17,53,348,28,431,28,431,66,473,146,334,174,410,174,410,187,470,53,348,146,334,71,494,129,492,71,494,68,638,68,638,47,768,129,492,118,637,118,637,118,773,53,348,71,494,146,334,129,492,71,494,129,492
18,53,347,30,430,30,430,66,474,145,334,174,410,174,410,188,470,53,347,145,334,71,495,129,492,71,495,68,638,68,638,46,767,129,492,118,637,118,637,118,772,53,347,71,495,145,334,129,492,71,495,129,492
19,53,346,42,430,42,430,75,474,143,334,169,410,169,410,188,469,53,346,143,334,71,495,127,492,71,495,68,638,68,638,46,767,127,492,117,637,117,637,118,772,53,346,71,495,143,334,127,492,71,495,127,492
20,53,345,43,430,43,430,75,476,142,334,166,411,166,411,188,468,53,345,142,334,71,495,126,492,71,495,67,638,67,638,45,767,126,492,116,637,116,637,116,772,53,345,71,495,142,334,126,492,71,495,126,492
21,53,345,43,430,43,430,77,476,142,334,162,412,162,412,188,463,53,345,142,334,70,495,125,492,70,495,67,637,67,637,45,767,125,492,115,637,115,637,114,771,53,345,70,495,142,334,125,492,70,495,125,492
22,53,345,43,430,43,430,77,476,142,334,160,414,160,414,188,461,53,345,142,334,70,495,125,492,70,495,67,637,67,637,45,767,125,492,114,637,114,637,114,771,53,345,70,495,142,334,125,492,70,495,125,492
23,52,343,43,426,43,426,84,458,142,334,158,413,158,413,187,454,52,343,142,334,69,495,125,492,69,495,67,637,67,637,45,767,125,492,114,637,114,637,114,771,52,343,69,495,142,334,125,492,69,495,125,492
24,51,343,43,425,43,425,86,452,142,334,157,413,157,413,186,452,51,343,142,334,68,495,124,492,68,495,66,638,66,638,45,767,124,492,113,637,113,637,114,771,51,343,68,495,142,334,124,492,68,495,124,492
25,51,342,45,425,45,425,89,450,142,333,157,416,157,416,184,447,51,342,142,333,67,494,124,492,67,494,66,638,66,638,45,767,124,492,113,637,113,637,114,771,51,342,67,494,142,333,124,492,67,494,124,492
26,51,342,46,425,46,425,90,449,142,333,158,417,158,417,182,446,51,342,142,333,66,494,124,491,66,494,66,638,66,638,45,768,124,491,113,637,113,637,114,771,51,342,66,494,142,333,124,491,66,494,124,491
27,50,342,46,425,46,425,89,451,143,335,159,422,159,422,178,437,50,342,143,335,66,494,124,492,66,494,66,638,66,638,45,768,124,492,113,637,113,637,115,772,50,342,66,494,143,335,124,492,66,494,124,492
28,50,342,47,425,47,425,88,452,144,336,160,424,160,424,176,435,50,342,144,336,65,494,124,492,65,494,66,638,66,638,45,768,124,492,113,638,113,638,116,773,50,342,65,494,144,336,124,492,65,494,124,492
